date,fpi_equity_net_cr,fpi_equity_net_usd_mn,fpi_total_net_cr,unit,source,source_url,fetched_at
2026-03-10,-6567.96,-711.87,-7960.37,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:01
2026-03-11,-5499.83,-597.69,-7983.88,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:02
2026-03-12,-5911.9,-643.12,-8405.83,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:03
2026-03-13,-7375.05,-798.57,-7491.51,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:05
2026-03-16,-10827.45,-1171.29,-12462.74,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:06
2026-03-17,-9406.78,-1018.09,-10018.31,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:07
2026-03-18,-4276.02,-462.48,-7801.3,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:08
2026-03-20,-10965.74,-1186.11,-13415.18,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:10
2026-03-23,-5549.89,-594.54,-5055.65,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:11
2026-03-24,-11299.42,-1203.37,-6042.18,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:12
2026-03-25,-7215.38,-768.58,-8623.6,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:13
2026-03-27,-1565.63,-166.62,662.88,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:14
2026-03-30,-3964.71,-419.11,-2711.01,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:16
2026-04-02,-19837.23,-2095.76,-22032.73,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:17
2026-04-06,-9469.61,-1015.96,-14871.41,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:18
2026-04-07,-8636.75,-928.09,-13361.89,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:18
2026-04-08,-6809.74,-732.52,-6973.94,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:19
2026-04-09,-1395.55,-150.77,-1666.59,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:20
2026-04-10,-2064.21,-222.65,-3316.71,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:21
2026-04-13,1509.37,162.91,691.49,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:22
2026-04-15,-1435.44,-153.74,-1970.65,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:23
2026-04-16,3098.97,331.84,2335.8,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:24
2026-04-17,1621.38,173.71,2660.8,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:25
2026-04-20,2068.84,223.12,18.14,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:26
2026-04-21,507.38,54.52,396.55,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:27
2026-04-22,595.21,63.7,1164.74,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:28
2026-04-23,-1249.9,-133.2,330.29,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:29
2026-04-24,-2469.67,-262.51,-344.28,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:30
2026-04-27,-8721.65,-924.92,-8800.14,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:32
2026-04-28,-4188.34,-444.54,-3811.46,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:33
